id,nama,email,no_hp,tanggal_daftar,status
1001,ahmad sari,ahmadsari27@yahoo.com,08789739692,06-12-22,active
1002,BAMBANG PUTRA,bambangputra41@yahoo.com,08125249882,17/10/2023,active
1003,Arif Sari,arifsari6@yahoo.com,08576013251,01/09/2020,INACTIVE
1004,maya simanjuntak,mayasimanjuntak29@hotmail.com,08197046955,2022-03-19,active 
1005,wulan wijaya,wulanwijaya19@hotmail.com,08114653880,24-11-23,aktive
1006,Eko Putra,ekoputra34@gmail.com,08124958849,27-07-20,inactive
1007,BUDI SIMANJUNTAK,budisimanjuntak75@hotmail.com,08566444432,09/03/2025,inactive
1008,Ahmad pasaribu,ahmadpasaribu93@hotmail.com,08113807840,2020-05-12,aktive
1009,Mega Purnama,megapurnama38@yahoo.com,08213007387,20/06/2025,INACTIVE
1010,reza tarigan,rezatarigan26@gmail.com,08565078362,24/11/2021,active
1011,Reza Kusuma,rezakusuma30@yahoo.com,08111704531,2023-05-03,INACTIVE
1012,AGUS UTAMI,agusutami73@yahoo.com,08968973718,08/09/2020,aktive
1013,putri saputra,putrisaputra64@gmail.com,08963600333,2024-09-12,inactive
1014,Rudi Sari,rudisari84@hotmail.com,08522501223,2024-01-25,inactive
1015,aNI Nasution,aninasution44@hotmail.com,08193645741,24-07-21,inactive
1016,Siti hasibuan,sitihasibuan98@yahoo.com,08572533463,17-04-24,inactive
1018,Ratna Gunawan,ratnagunawan95@hotmail.com,08112002860,28-03-24,inactive
1019,Ika sembiring,ikasembiring59@yahoo.com,08523582322,2025-04-15,active
1020,Tono Lestari,tonolestari94@gmail.com,08782801733,2021-12-30,active
1021,SITI LUBIS,sitilubis22@yahoo.com,08139184645,27-09-23,active
1023,Dedi Sari,dedisari63@hotmail.com,08786827024,19-09-22,inactive
1024,Hendra tanjung,hendratanjung70@gmail.com,08574237420,25/07/2021,banned
1025,Dewi Setiawan,dewisetiawan8@hotmail.com,08117337911,2024-04-21,active
1026,Nur Utami,nurutami5@hotmail.com,08523260430,09/08/2020,inactive
1027,nur tanjung,nurtanjung86@gmail.com,08211662507,2021-05-28,active
